epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7076,5.23141,4.65037,3.20967,0.00024,0.0051,0.00015,2e-05,5.22009,4.60929,3.03237,5e-05,5e-05,5e-05
2,125.589,4.96048,4.39484,2.85795,0.00281,0.00542,0.0016,0.00039,4.59063,4.01131,2.67542,0.000111386,0.000111386,0.000111386
3,182.729,4.31985,4.02765,2.51925,0.50159,0.0046,0.00064,0.00016,4.4815,4.70338,2.60516,0.000171535,0.000171535,0.000171535
4,241.841,4.29393,3.54658,2.20821,0.50206,0.00632,0.00076,0.00016,4.40146,10.2038,2.48899,0.000230446,0.000230446,0.000230446
5,300.218,4.1086,3.20336,2.12798,0.00284,0.01034,0.00139,0.00033,4.27616,24.1902,2.28311,0.00028812,0.00028812,0.00028812
6,363.582,3.84277,3.2434,1.94567,0.04187,0.0257,0.02147,0.00568,3.98654,13.1779,1.99548,0.000344556,0.000344556,0.000344556
7,450.317,3.81988,3.2959,2.08521,0.04187,0.0257,0.02147,0.00568,3.98654,13.1779,1.99548,0.000399755,0.000399755,0.000399755
8,508.725,3.7751,2.58104,1.80338,0.42285,0.03269,0.09003,0.02297,3.94817,9.20583,1.9319,0.000453716,0.000453716,0.000453716
9,565.731,3.70358,2.77475,1.85017,0.42285,0.03269,0.09003,0.02297,3.94817,9.20583,1.9319,0.00050644,0.00050644,0.00050644
10,628.133,3.87686,2.52512,1.77961,0.12014,0.02488,0.06107,0.01149,3.78432,4.41382,1.85549,0.000557926,0.000557926,0.000557926
11,714.985,3.79041,2.71251,1.93057,0.12014,0.02488,0.06107,0.01149,3.78432,4.41382,1.85549,0.000608175,0.000608175,0.000608175
12,771.047,3.64237,2.98729,1.67947,0.05639,0.04683,0.03119,0.0096,3.6464,13.7122,1.76284,0.000657186,0.000657186,0.000657186
13,835.286,3.65945,2.66795,1.76859,0.05639,0.04683,0.03119,0.0096,3.6464,13.7122,1.76284,0.00070496,0.00070496,0.00070496
14,899.005,3.86969,2.39535,1.57183,0.05639,0.04683,0.03119,0.0096,3.6464,13.7122,1.76284,0.000751496,0.000751496,0.000751496
15,981.941,3.78761,2.49867,1.656,0.06761,0.04741,0.0371,0.00779,3.63131,3.00419,1.80132,0.000796795,0.000796795,0.000796795
16,1041.15,3.61045,2.51743,1.59233,0.06761,0.04741,0.0371,0.00779,3.63131,3.00419,1.80132,0.000840856,0.000840856,0.000840856
17,1102.66,3.70401,2.60591,1.61527,0.06761,0.04741,0.0371,0.00779,3.63131,3.00419,1.80132,0.00088368,0.00088368,0.00088368
18,1160.8,3.56057,2.65052,1.72801,0.06761,0.04741,0.0371,0.00779,3.63131,3.00419,1.80132,0.000925266,0.000925266,0.000925266
19,1219.06,3.50537,2.63668,1.63816,0.28612,0.05337,0.1403,0.02935,4.14151,7.12498,2.40159,0.000965615,0.000965615,0.000965615
20,1277.19,3.57992,2.17624,1.6315,0.28612,0.05337,0.1403,0.02935,4.14151,7.12498,2.40159,0.00100473,0.00100473,0.00100473
21,1335.91,3.68882,2.24719,1.64464,0.28612,0.05337,0.1403,0.02935,4.14151,7.12498,2.40159,0.0010025,0.0010025,0.0010025
22,1428.48,3.60397,2.4485,1.63895,0.28612,0.05337,0.1403,0.02935,4.14151,7.12498,2.40159,0.000990125,0.000990125,0.000990125
23,1514.14,3.76613,2.40455,1.60799,0.28612,0.05337,0.1403,0.02935,4.14151,7.12498,2.40159,0.00097775,0.00097775,0.00097775
24,1590.71,3.45528,2.4566,1.65769,0.06816,0.08581,0.03923,0.01102,3.48527,18.4854,1.68341,0.000965375,0.000965375,0.000965375
25,1654.64,3.56419,2.4055,1.64239,0.06816,0.08581,0.03923,0.01102,3.48527,18.4854,1.68341,0.000953,0.000953,0.000953
26,1735.82,3.66081,2.38521,1.50131,0.06816,0.08581,0.03923,0.01102,3.48527,18.4854,1.68341,0.000940625,0.000940625,0.000940625
27,1795.15,3.54467,2.27444,1.47306,0.06816,0.08581,0.03923,0.01102,3.48527,18.4854,1.68341,0.00092825,0.00092825,0.00092825
28,1855.68,3.66106,2.34334,1.5238,0.06812,0.10389,0.04078,0.01122,3.43958,4.86205,1.61775,0.000915875,0.000915875,0.000915875
29,1914.01,3.51152,2.31921,1.60523,0.06812,0.10389,0.04078,0.01122,3.43958,4.86205,1.61775,0.0009035,0.0009035,0.0009035
30,1972.41,3.49444,2.30441,1.50473,0.06812,0.10389,0.04078,0.01122,3.43958,4.86205,1.61775,0.000891125,0.000891125,0.000891125
31,2029.33,3.56811,2.29708,1.55958,0.06812,0.10389,0.04078,0.01122,3.43958,4.86205,1.61775,0.00087875,0.00087875,0.00087875
32,2086.18,3.43226,2.60087,1.65148,0.3554,0.09764,0.05739,0.01659,3.319,2.57765,1.55247,0.000866375,0.000866375,0.000866375
33,2139.55,3.44733,2.28203,1.54774,0.3554,0.09764,0.05739,0.01659,3.319,2.57765,1.55247,0.000854,0.000854,0.000854
34,2195.26,3.50068,2.2022,1.56031,0.3554,0.09764,0.05739,0.01659,3.319,2.57765,1.55247,0.000841625,0.000841625,0.000841625
35,4732.85,3.56165,2.54791,1.51688,0.3554,0.09764,0.05739,0.01659,3.319,2.57765,1.55247,0.00082925,0.00082925,0.00082925
36,4824.88,3.50973,2.02832,1.52476,0.08317,0.08173,0.04618,0.0131,3.31442,2.53558,1.58826,0.000816875,0.000816875,0.000816875
37,4889.88,3.42116,1.99917,1.5297,0.08317,0.08173,0.04618,0.0131,3.31442,2.53558,1.58826,0.0008045,0.0008045,0.0008045
38,4956.82,3.34235,2.18863,1.59479,0.08317,0.08173,0.04618,0.0131,3.31442,2.53558,1.58826,0.000792125,0.000792125,0.000792125
39,5037.52,3.42762,2.45616,1.62066,0.08317,0.08173,0.04618,0.0131,3.31442,2.53558,1.58826,0.00077975,0.00077975,0.00077975
40,5101.82,3.46458,2.06578,1.52646,0.09477,0.12484,0.05845,0.01715,3.31367,3.09905,1.54366,0.000767375,0.000767375,0.000767375
41,5175.18,3.48317,2.35765,1.70778,0.09477,0.12484,0.05845,0.01715,3.31367,3.09905,1.54366,0.000755,0.000755,0.000755
42,5237.94,3.38003,2.20466,1.69058,0.09477,0.12484,0.05845,0.01715,3.31367,3.09905,1.54366,0.000742625,0.000742625,0.000742625
43,5294.95,3.3334,2.07894,1.60959,0.09477,0.12484,0.05845,0.01715,3.31367,3.09905,1.54366,0.00073025,0.00073025,0.00073025
44,5357.17,3.38172,2.01331,1.5294,0.09477,0.12484,0.05845,0.01715,3.31367,3.09905,1.54366,0.000717875,0.000717875,0.000717875
45,5437.38,3.5017,2.07524,1.54417,0.12991,0.16711,0.08672,0.02473,3.30806,2.6913,1.53639,0.0007055,0.0007055,0.0007055
46,5523.95,3.54686,2.34684,1.62897,0.12991,0.16711,0.08672,0.02473,3.30806,2.6913,1.53639,0.000693125,0.000693125,0.000693125
47,5586.6,3.34742,2.01215,1.62635,0.12991,0.16711,0.08672,0.02473,3.30806,2.6913,1.53639,0.00068075,0.00068075,0.00068075
48,5658.88,3.53778,2.0026,1.57417,0.12991,0.16711,0.08672,0.02473,3.30806,2.6913,1.53639,0.000668375,0.000668375,0.000668375
49,5722.76,3.38041,1.90935,1.48955,0.17332,0.13646,0.0993,0.02656,3.23352,2.08214,1.52325,0.000656,0.000656,0.000656
50,5787.36,3.42177,1.91004,1.34827,0.17332,0.13646,0.0993,0.02656,3.23352,2.08214,1.52325,0.000643625,0.000643625,0.000643625
51,5872.14,3.25592,2.23183,1.64759,0.17332,0.13646,0.0993,0.02656,3.23352,2.08214,1.52325,0.00063125,0.00063125,0.00063125
52,5928.01,3.36771,2.35225,1.59903,0.17332,0.13646,0.0993,0.02656,3.23352,2.08214,1.52325,0.000618875,0.000618875,0.000618875
53,5986.7,3.31385,2.58716,1.4141,0.16095,0.14957,0.09048,0.02373,3.24678,2.08405,1.48644,0.0006065,0.0006065,0.0006065
54,6045.53,3.41278,1.96982,1.5551,0.16095,0.14957,0.09048,0.02373,3.24678,2.08405,1.48644,0.000594125,0.000594125,0.000594125
55,6131.27,3.51668,1.98476,1.42718,0.16095,0.14957,0.09048,0.02373,3.24678,2.08405,1.48644,0.00058175,0.00058175,0.00058175
56,6189.3,3.22923,1.89782,1.48707,0.16095,0.14957,0.09048,0.02373,3.24678,2.08405,1.48644,0.000569375,0.000569375,0.000569375
57,6244.02,3.25601,1.87763,1.47648,0.20053,0.16165,0.11148,0.03176,3.15083,1.86108,1.46123,0.000557,0.000557,0.000557
58,6301.39,3.38073,1.85253,1.42095,0.20053,0.16165,0.11148,0.03176,3.15083,1.86108,1.46123,0.000544625,0.000544625,0.000544625
59,6367.01,3.38663,1.82513,1.44092,0.20053,0.16165,0.11148,0.03176,3.15083,1.86108,1.46123,0.00053225,0.00053225,0.00053225
60,6426.98,3.29483,1.83889,1.44912,0.20053,0.16165,0.11148,0.03176,3.15083,1.86108,1.46123,0.000519875,0.000519875,0.000519875
61,6478.59,3.11216,1.95139,1.5886,0.2284,0.18375,0.14519,0.04278,3.10337,1.91512,1.44766,0.0005075,0.0005075,0.0005075
62,6532.64,3.23802,2.02719,1.4862,0.2284,0.18375,0.14519,0.04278,3.10337,1.91512,1.44766,0.000495125,0.000495125,0.000495125
63,6587.72,3.09582,1.89891,1.51551,0.2284,0.18375,0.14519,0.04278,3.10337,1.91512,1.44766,0.00048275,0.00048275,0.00048275
64,6642.29,3.27318,2.03038,1.58696,0.2284,0.18375,0.14519,0.04278,3.10337,1.91512,1.44766,0.000470375,0.000470375,0.000470375
65,6698.69,3.17437,1.75854,1.38921,0.2284,0.18375,0.14519,0.04278,3.10337,1.91512,1.44766,0.000458,0.000458,0.000458
66,6775.16,3.3311,1.81167,1.39723,0.22369,0.16955,0.13568,0.04369,3.08522,1.87025,1.43368,0.000445625,0.000445625,0.000445625
67,6829.12,3.14319,1.84549,1.47153,0.22369,0.16955,0.13568,0.04369,3.08522,1.87025,1.43368,0.00043325,0.00043325,0.00043325
68,6885.47,3.39283,1.83181,1.45166,0.22369,0.16955,0.13568,0.04369,3.08522,1.87025,1.43368,0.000420875,0.000420875,0.000420875
69,6943.18,3.20318,1.82524,1.43488,0.22369,0.16955,0.13568,0.04369,3.08522,1.87025,1.43368,0.0004085,0.0004085,0.0004085
70,7016.19,3.49314,1.70549,1.31922,0.23025,0.18912,0.14067,0.04415,3.03184,1.75008,1.40547,0.000396125,0.000396125,0.000396125
71,7079.52,3.38935,1.75193,1.33742,0.23025,0.18912,0.14067,0.04415,3.03184,1.75008,1.40547,0.00038375,0.00038375,0.00038375
72,7134.1,3.25987,1.95565,1.49937,0.23025,0.18912,0.14067,0.04415,3.03184,1.75008,1.40547,0.000371375,0.000371375,0.000371375
73,7188.69,3.06801,1.88182,1.52146,0.23025,0.18912,0.14067,0.04415,3.03184,1.75008,1.40547,0.000359,0.000359,0.000359
74,7249.29,3.23588,1.80451,1.32927,0.24828,0.18281,0.13368,0.03851,3.04199,1.7889,1.39456,0.000346625,0.000346625,0.000346625
75,7303.1,3.16948,1.77867,1.35749,0.24828,0.18281,0.13368,0.03851,3.04199,1.7889,1.39456,0.00033425,0.00033425,0.00033425
76,7357.7,3.43339,1.82702,1.32774,0.24828,0.18281,0.13368,0.03851,3.04199,1.7889,1.39456,0.000321875,0.000321875,0.000321875
77,7412.37,3.29765,1.8826,1.44726,0.24828,0.18281,0.13368,0.03851,3.04199,1.7889,1.39456,0.0003095,0.0003095,0.0003095
78,7467.25,3.10177,1.97128,1.44606,0.26114,0.18353,0.1428,0.0437,3.01187,1.74081,1.38435,0.000297125,0.000297125,0.000297125
79,7526.84,3.27924,1.8618,1.43094,0.26114,0.18353,0.1428,0.0437,3.01187,1.74081,1.38435,0.00028475,0.00028475,0.00028475
80,7584.14,3.18581,1.89446,1.45312,0.26114,0.18353,0.1428,0.0437,3.01187,1.74081,1.38435,0.000272375,0.000272375,0.000272375
81,7656.54,3.23001,1.79523,1.4014,0.26114,0.18353,0.1428,0.0437,3.01187,1.74081,1.38435,0.00026,0.00026,0.00026
82,7712.8,3.09043,1.86824,1.44278,0.28813,0.18769,0.1583,0.05019,2.9875,1.70467,1.39268,0.000247625,0.000247625,0.000247625
83,7772.42,3.24858,1.69231,1.32346,0.28813,0.18769,0.1583,0.05019,2.9875,1.70467,1.39268,0.00023525,0.00023525,0.00023525
84,7831.12,3.1574,1.8383,1.41639,0.28813,0.18769,0.1583,0.05019,2.9875,1.70467,1.39268,0.000222875,0.000222875,0.000222875
85,7887.74,3.1148,1.86388,1.50345,0.28813,0.18769,0.1583,0.05019,2.9875,1.70467,1.39268,0.0002105,0.0002105,0.0002105
86,7940.95,3.13931,1.88898,1.44719,0.28813,0.18769,0.1583,0.05019,2.9875,1.70467,1.39268,0.000198125,0.000198125,0.000198125
87,8000.27,3.17454,1.97238,1.49604,0.27426,0.19943,0.16374,0.05355,2.97147,1.72137,1.39608,0.00018575,0.00018575,0.00018575
88,8055.14,3.07897,1.79076,1.41481,0.27426,0.19943,0.16374,0.05355,2.97147,1.72137,1.39608,0.000173375,0.000173375,0.000173375
89,8112.32,3.10305,1.60913,1.31898,0.27426,0.19943,0.16374,0.05355,2.97147,1.72137,1.39608,0.000161,0.000161,0.000161
90,8169.62,3.11049,1.8994,1.46469,0.27426,0.19943,0.16374,0.05355,2.97147,1.72137,1.39608,0.000148625,0.000148625,0.000148625
91,8226.87,3.19961,2.04796,1.48047,0.2847,0.19702,0.16984,0.05594,2.96713,1.73051,1.39028,0.00013625,0.00013625,0.00013625
92,8284.26,3.3276,2.38856,1.47178,0.2847,0.19702,0.16984,0.05594,2.96713,1.73051,1.39028,0.000123875,0.000123875,0.000123875
93,8342.2,3.17299,2.22135,1.43984,0.2847,0.19702,0.16984,0.05594,2.96713,1.73051,1.39028,0.0001115,0.0001115,0.0001115
94,8397.3,3.34414,2.3344,1.48269,0.2847,0.19702,0.16984,0.05594,2.96713,1.73051,1.39028,9.9125e-05,9.9125e-05,9.9125e-05
95,8451.14,3.27072,2.1124,1.34226,0.29174,0.19826,0.17571,0.05471,3.00576,1.78536,1.38185,8.675e-05,8.675e-05,8.675e-05
96,8504.68,3.2195,2.05701,1.35181,0.29174,0.19826,0.17571,0.05471,3.00576,1.78536,1.38185,7.4375e-05,7.4375e-05,7.4375e-05
97,8559.01,3.09069,2.20079,1.5859,0.29174,0.19826,0.17571,0.05471,3.00576,1.78536,1.38185,6.2e-05,6.2e-05,6.2e-05
98,8614.51,3.14055,2.32811,1.38799,0.29174,0.19826,0.17571,0.05471,3.00576,1.78536,1.38185,4.9625e-05,4.9625e-05,4.9625e-05
99,8668.72,3.19109,1.94712,1.49371,0.26995,0.2021,0.16533,0.05177,3.01684,1.79371,1.38006,3.725e-05,3.725e-05,3.725e-05
100,8726.53,3.09001,2.10553,1.4805,0.26995,0.2021,0.16533,0.05177,3.01684,1.79371,1.38006,2.4875e-05,2.4875e-05,2.4875e-05
